cartodb_id,the_geom,cartodb_georef_status,geonameid,subcountry,country,name
190,0101000020E610000040F67AF7C7774DC0884B8E3BA57B3BC0,true,3436124,Chaco,Argentina,Barranqueras
579,0101000020E610000079CC4065FC5F4740B77F65A549E14340,true,147105,Şuşa,Azerbaijan,Shushi
750,0101000020E6100000E50AEF72113956401E6D1CB116C73940,true,6545349,Rājshāhi,Bangladesh,Saidpur
604,0101000020E6100000BD00FBE8D4954740AA656B7D91984440,true,585170,Shaki City,Azerbaijan,Sheki
347,0101000020E6100000BCB376DB85162A40350C1F1153E64740,true,2766824,Salzburg,Austria,Salzburg
980,0101000020E610000087FE092E56A43940732EC55565374540,true,726848,Stara Zagora,Bulgaria,Stara Zagora
422,0101000020E61000008195438B6CA76240452FA3586EAD41C0,true,2152286,New South Wales,Australia,Queanbeyan
429,0101000020E610000073BA2C2636D362400C3CF71E2E7141C0,true,2154787,New South Wales,Australia,Nowra
491,0101000020E6100000D9B11188D7206340C47762D68B313BC0,true,2169220,Queensland,Australia,Deception Bay
505,0101000020E6100000B62DCA6C90E162400074982F2FE440C0,true,2172303,New South Wales,Australia,Carlingford
843,0101000020E6100000B9DFA128D0A70E405C035B25588C4940,true,2792235,Flanders,Belgium,Lochristi
961,0101000020E6100000B020CD58349DFC3F13F241CF66252840,true,2361373,Est,Burkina Faso,Diapaga
225,0101000020E6100000A9D903ADC01450C0B3EA73B5152337C0,true,3836620,Salta,Argentina,San Ramón de la Nueva Orán
998,0101000020E6100000C6F99B5088083740CDCCCCCCCC4C4540,true,728330,Pernik,Bulgaria,Pernik
382,0101000020E61000009981CAF8F7576140A9C1340C1F4D41C0,true,2071059,South Australia,Australia,Gawler
122,0101000020E61000002D6002B7EEEE3040C0266BD443C428C0,true,3348078,Bié,Angola,Cuito
729,0101000020E6100000302FC03E3AF5564066F7E461A1563640,true,1205733,Chittagong,Bangladesh,Chittagong
743,0101000020E6100000B62DCA6C90115640C976BE9F1A973840,true,1337240,Rājshāhi,Bangladesh,Nawābganj
84,0101000020E61000000CC85EEFFE703340A852B3075AA94440,true,3185728,Durrës,Albania,Durrës
667,0101000020E610000011363CBD52665640BEA4315A472D3840,true,1185121,Rājshāhi,Bangladesh,Shāhzādpur
51,0101000020E610000049F4328AE50E4F40320395F1EF2F4040,true,1142264,Farah,Afghanistan,Farah
198,0101000020E610000016C1FF56B29F4FC088BA0F406A3740C0,true,3832662,Cordoba,Argentina,Villa Nueva
41,0101000020E6100000257A19C5726D504094FB1D8A029D3F40,true,1138336,Kandahār,Afghanistan,Kandahār
338,0101000020E61000003333333333332F403333333333334840,true,2761669,Lower Austria,Austria,Weinzierl bei Krems
657,0101000020E6100000B6A1629CBF9956406A1327F73BE43740,true,1185098,Dhaka,Bangladesh,Tungi
174,0101000020E6100000DD7BB8E4B8AB4DC0A8E3310395893AC0,true,3433803,Chaco,Argentina,General José de San Martín
317,0101000020E610000067EDB60BCDE150C0DCBA9BA73A3847C0,true,3863379,Santa Cruz,Argentina,Caleta Olivia
306,0101000020E6100000F241CF66D5DF50C05396218E75293DC0,true,3861445,La Rioja,Argentina,Chilecito
703,0101000020E610000049A297512CAF5640118DEE2076563640,true,1185251,Barisāl,Bangladesh,Lālmohan
947,0101000020E610000008556AF6402BF1BFDD989EB0C4532740,true,2358100,Centre-Sud,Burkina Faso,Manga
564,0101000020E6100000AD510FD1E82162404C37894160D942C0,true,8349381,Victoria,Australia,Bundoora
801,0101000020E6100000AEB6627FD9DD12408B37328FFC794940,true,2787662,Flanders,Belgium,Rotselaar
827,0101000020E6100000757632384A9E0F40F5108DEE203A4940,true,2790869,Wallonia,Belgium,Mons
418,0101000020E61000009FE57970772762401630815B77F742C0,true,2150894,Victoria,Australia,Rowville
112,0101000020E6100000F29881CAF8772A400647C9AB73AC21C0,true,2240449,Luanda,Angola,Luanda
950,0101000020E610000049D74CBED9E602C01AFA27B858812840,true,2358946,Centre-Ouest,Burkina Faso,Koudougou
954,0101000020E61000007D96E7C1DD59F1BF740CC85EEF2E2A40,true,2359608,Centre-Nord,Burkina Faso,Kaya
712,0101000020E6100000F0A2AF20CDBC5640016A6AD95A373840,true,1185276,Dhaka,Bangladesh,Bājitpur
139,0101000020E61000004DA1F31ABBE44DC0C2120F289BF23EC0,true,3428359,Entre Rios,Argentina,Santa Elena
649,0101000020E610000002F1BA7EC1263040295C8FC2F5704640,true,3203653,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Bosanska Krupa
320,0101000020E610000082397AFCDE224FC0AA436E861B5C43C0,true,3865086,Buenos Aires,Argentina,Bahía Blanca
216,0101000020E610000098FA795391E64FC0B1A206D3308436C0,true,3834601,Salta,Argentina,Tartagal
44,0101000020E610000025E99AC9374F51405E11FC6F258F4140,true,1139807,Parvān,Afghanistan,Jabal os Saraj
984,0101000020E610000007D3307C44543A40CF4E0647C9574540,true,727079,Sliven,Bulgaria,Sliven
376,0101000020E6100000611A868F88506140B0C91AF5109141C0,true,2065740,South Australia,Australia,Morphett Vale
999,0101000020E610000093C6681D555538409A99999999194540,true,728378,Pazardzhik,Bulgaria,Pazardzhik
426,0101000020E61000000E677E350718624005DD5ED218F542C0,true,2152819,Victoria,Australia,Point Cook
204,0101000020E61000001EF98381E71250C0410E4A98694B3FC0,true,3832815,Cordoba,Argentina,Villa Allende
918,0101000020E610000061FD9FC37CF910405C3D27BD6F8C4940,true,2801447,Flanders,Belgium,Bornem
603,0101000020E61000005951836918524840062FFA0AD2504440,true,585156,Şamaxı,Azerbaijan,Shamakhi
818,0101000020E6100000D122DBF97E6A074001FBE8D4959B4940,true,2789786,Flanders,Belgium,Ostend
742,0101000020E6100000E2CCAFE600175640A5A0DB4B1ADB3940,true,1337239,Rangpur Division,Bangladesh,Pīrgaaj
325,0101000020E6100000A94D9CDCEFF450C09335EA211A7D43C0,true,3866242,Rio Negro,Argentina,Allen
859,0101000020E610000092054CE0D6BD1140A33B889D29A84940,true,2794730,Flanders,Belgium,Kapellen
251,0101000020E610000005A8A9656B094FC0399CF9D51C7043C0,true,3839982,Buenos Aires,Argentina,Punta Alta
457,0101000020E6100000B9533A58FF0C6240A583F57F0E0343C0,true,2160560,Victoria,Australia,Lara
